Question,Answer
"What is the significance of the protagonist's sister, Prim, and her relationship with their mother and the ugliest cat named Buttercup?","The protagonist's sister, Prim, provides a moment of warmth and innocence in the bleak world they live in. She adds a sense of purity and hope to an otherwise dire situation. The fact that she shares her mother's bed every night shows the close bond between them, as well as the desperation for comfort and safety during the reaping day. The protagonist's relationship with Prim is contrasted by his hatred for the ugliest cat named Buttercup, which represents the tension and animosity that exists between the two brothers. However, the fact that Buttercup eventually learns to trust the protagonist after initially distrusting him highlights the possibility of redemption and forgiveness even in the harshest of circumstances."
How does the author's location within District 12 impact their daily routine and activities?,"The author's location almost at the edge of District 12's Seam allows them to easily access the scruffy field called the Meadow, but also exposes them to potential dangers from predators in the woods that are kept out by an electrified fence. The author is able to learn survival skills in the woods, including hunting, as their father taught them before he was killed in a mine explosion. However, the author still experiences trauma from this event and may wake up screaming."
What is unique about the author's bow and why is it kept hidden in the woods?,"The author's bow is a rarity, crafted by their father along with a few others. It is kept well hidden in the woods, carefully wrapped in waterproof covers, because if the officials found out about it, the author's father would have been publicly executed for inciting a rebellion."
How did Katniss come to be known as 'Catnip' by Gale?,"When Katniss first told Gale her real name, which was Katniss, she barely whispered it. As a result, he thought she had said Catnip, and this became his official nickname for her due to the presence of a crazy lynx in the woods who used to follow her around and beg for handouts."
How does the narrator feel about their mother's decision to leave her home and move to the Seam?,"The narrator tries to forgive their mother for leaving her home for the Seam because of her love for their father, but admits that they are not a forgiving type. They also express resentment towards their mother's blank and unreachable presence during the Hunger Games when her children were suffering."
"What prompts Gale to suggest leaving their current situation, and why is Peeta skeptical about this idea?","Gale suggests leaving their current situation, which includes taking care of his younger siblings and their mother, because they could make it on their own by hunting daily and living in the woods. However, Peeta is skeptical because the idea seems preposterous due to the responsibility they have towards Gale's family members, including his sisters Prim and her younger brothers."
How does the author acquire strawberries and who do they sell them to? What is notable about the person they sell them to? ,"The author acquires strawberries from an unspecified location, but mentions finding a patch a few years ago. They then sell half of these strawberries to the back door of the mayor's house. The person they sell them to is notable because she is the mayor's daughter, Madge, and the author mentions that the mayor has a particular fondness for strawberries."
What is the unfair aspect of the reaping system in the text material?,"The poor get the worst of it in the reaping system, as those from impoverished districts are more likely to have their names selected due to being eligible multiple times starting at age thirteen."
"How does the system of tesserae contribute to division and resentment among the starving workers in District 12, as described by Gale?","The system of tesserae, which requires individuals like Katniss and her family to exchange their names multiple times for a meager year's supply of grain and oil, contributes to division and resentment among the starving workers in District 12 as described by Gale. Gale sees it as another tool used by the Capitol to cause misery and plant hatred between the district's hungry workers and those who can generally count on supper. He believes that this system divides them among themselves, making it unlikely for them to ever trust each other. Furthermore, he feels that those who do not have to sign up for tesserae, like Madge, should not be exempt from the reaping process. Gale's anger at Madge is misdirected, but it highlights how this system can lead to division and resentment among the impoverished inhabitants of District 12."
How does Katniss protect Prim during the Hunger Games?,"Katniss protects Prim during the Hunger Games by allowing her mother to help her with her appearance, braiding and toweling-drying her hair, and entering the games in a way that reduces her chances of being selected for tesserae. Katniss also reassures Prim before the reaping, but acknowledges that she is powerless against the Capitol's selection process."
